company,name,technology,type,chp,fuel,secondary_fuel,capacity_mw,grid_connection,country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,lat,lon
Vattenfall,Ormonde,Wind,Offshore,No,Wind,,150.0,HV,England,North West,,SD0600066842,306000.0,466842.0,2011.0,WOF-000405,54.08887184061225,-3.438590299125097
Vattenfall,Kentish Flats Extension,Wind,Offshore,No,Wind,,49.5,LV,England,South East,,TR1537775526,615377.0,175526.0,2015.0,WOF-000745,51.43776845040583,1.0974816241043042
Vattenfall,Aberdeen,Wind,Offshore,No,Wind,,96.8,HV,Scotland,Scotland,,NJ9574814283,395748.0,814283.0,2018.0,WOF-001260,57.2192765039346,-2.0720459000943423
Vattenfall,Edinbane,Wind,Onshore,No,Wind,,41.4,HV,Scotland,Scotland,,NG3435350769,134353.0,850769.0,2009.0,WON-000367,57.46912682028172,-6.432206098199516
Vattenfall,Swinford,Wind,Onshore,No,Wind,,22.0,LV,England,East Midlands,,SP5680479647,456804.0,279647.0,2012.0,WON-000475,52.41188343979711,-1.1663198827453645
Vattenfall,Clashindarroch,Wind,Onshore,No,Wind,,36.9,HV,Scotland,Scotland,,NJ4821439951,348214.0,839951.0,2015.0,WON-000749,57.44690079337703,-2.864482531268606
Vattenfall,Pen Y Cymoedd,Wind,Onshore,No,Wind,,228.0,HV,Wales,Wales,,SS9287999365,292879.0,199365.0,2016.0,WON-000973,51.68279556700399,-3.5508501535822945
Vattenfall,Ray,Wind,Onshore,No,Wind,,54.4,LV,England,North East,,NY9555087550,395550.0,587550.0,2017.0,WON-001155,55.182219278306725,-2.0714215103852496
Venitent Energy Services,Kirkby Moor,Wind,Onshore,No,Wind,,4.8,LV,England,North West,LA177UN,,326111.0,485242.0,1993.0,WON-000139,54.257490795286365,-3.135725255851302
Venitent Energy Services,Taff Ely,Wind,Onshore,No,Wind,,9.0,LV,Wales,Wales,CF398DJ,,297000.0,186000.0,1993.0,WON-000141,51.56343965543785,-3.4873298838979245
Venitent Energy Services,Bryn Titli,Wind,Onshore,No,Wind,,9.9,LV,Wales,Wales,SY186RX,,293500.0,275500.0,1994.0,WON-000147,52.367165391942486,-3.5655918862422196
Venitent Energy Services,Trysglwyn,Wind,Onshore,No,Wind,,5.6,LV,Wales,Wales,LL689RF,,244000.0,389000.0,1996.0,WON-000165,53.37475972059532,-4.34646642497219
Venitent Energy Services,Rheidol,Wind,Onshore,No,Wind,,2.4,LV,Wales,Wales,SY233N,,272400.0,280500.0,1997.0,WON-000172,52.40758102505447,-3.8772282090321117
Venitent Energy Services,Llyn Alaw,Wind,Onshore,No,Wind,,20.4,LV,Wales,Wales,LL680TB,,236000.0,387000.0,1997.0,WON-000173,53.35437569300463,-4.465565943413202
Venitent Energy Services,Novar,Wind,Onshore,No,Wind,,17.0,LV,Scotland,Scotland,IV170XJ,,255500.0,871000.0,1997.0,WON-000174,57.70549959488195,-4.4266560849302365
Venitent Energy Services,Mynydd Gorddu,Wind,Onshore,No,Wind,,10.2,LV,Wales,Wales,SY245DP,,266200.0,287200.0,1998.0,WON-000181,52.466296522145704,-3.971000532131066
Venitent Energy Services,Beinn Ghlas,Wind,Onshore,No,Wind,,8.4,LV,Scotland,Scotland,PA351HY,,196500.0,726000.0,1999.0,WON-000190,56.382347070718794,-5.29771401283522
Venitent Energy Services,Lambrigg,Wind,Onshore,No,Wind,,6.5,LV,England,North West,LA80AP,,358800.0,493600.0,2000.0,WON-000206,54.3362847975935,-2.635139409083186
Venitent Energy Services,Bears Down,Wind,Onshore,No,Wind,,9.6,LV,England,South West,TR84RJ,,190360.0,67560.0,2001.0,WON-000215,50.470290545688464,-4.955627270610474
Venitent Energy Services,Tow Law,Wind,Onshore,No,Wind,,2.31,LV,England,North East,DL134DE,,411500.0,541000.0,2001.0,WON-000217,54.76380395940492,-1.82280011955212
Venitent Energy Services,Ardrossan,Wind,Onshore,No,Wind,,30.0,LV,Scotland,Scotland,KA227NU,,223500.0,642500.0,2004.0,WON-000253,55.643899785823045,-4.806141229676192
Venitent Energy Services,Causeymire,Wind,Onshore,No,Wind,,48.3,HV,Scotland,Scotland,KW15XR,,312000.0,950000.0,2005.0,WON-000269,58.429433184520555,-3.508590126348877
Venitent Energy Services,Mynydd Clogau,Wind,Onshore,No,Wind,,14.45,LV,Wales,Wales,SY163DQ,,303300.0,298800.0,2006.0,WON-000287,52.5783857983063,-3.4284765495257905
Venitent Energy Services,Farr,Wind,Onshore,No,Wind,,92.0,HV,Scotland,Scotland,IV137ZA,,273500.0,829000.0,2006.0,WON-000288,57.33392061775464,-4.103012495227077
Venitent Energy Services,Ffynnon Oer,Wind,Onshore,No,Wind,,32.0,LV,Wales,Wales,SA133LG,,285500.0,205500.0,2006.0,WON-000290,51.73647561352479,-3.659554358124414
Venitent Energy Services,Minsca,Wind,Onshore,No,Wind,,36.8,HV,Scotland,Scotland,DG112QE,,313821.0,581690.0,2008.0,WON-000341,55.122070569679465,-3.3528565978291587
Venitent Energy Services,Dalswinton,Wind,Onshore,No,Wind,,30.0,HV,Scotland,Scotland,DG20YB,,295000.0,589000.0,2008.0,WON-000343,55.184097127748174,-3.650562297931761
Venitent Energy Services,Lissett Airfield,Wind,Onshore,No,Wind,,30.0,LV,England,Yorkshire and the Humber,YO258PZ,,512263.0,458139.0,2009.0,WON-000371,54.00707624493782,-0.2885281977124708
Venitent Energy Services,Hill of Fiddes,Wind,Onshore,No,Wind,,6.9,LV,Scotland,Scotland,AB416QR,,393495.0,824485.0,2010.0,WON-000385,57.310892248029816,-2.1096246702815873
Venitent Energy Services,Low Spinney,Wind,Onshore,No,Wind,,8.2,LV,England,East Midlands,LE175NB,,455816.0,289705.0,2011.0,WON-000416,52.50239700614554,-1.1791643191165497
Venitent Energy Services,Glenkerie,Wind,Onshore,No,Wind,,22.0,LV,Scotland,Scotland,ML126QL,,310453.0,628117.0,2012.0,WON-000460,55.53852329331312,-3.4204950604559943
Venitent Energy Services,Seamer,Wind,Onshore,No,Wind,,10.25,LV,England,North East,TS159JH,,448125.0,511235.0,2012.0,WON-000474,54.49417174727333,-1.2585208221826598
Venitent Energy Services,Blackstone Edge,Wind,Onshore,No,Wind,,7.5,LV,England,Yorkshire and the Humber,S369PA,,419565.0,405226.0,2013.0,WON-000509,53.54331482680486,-1.7062246284686742
Venitent Energy Services,Gordonstown Hill,Wind,Onshore,No,Wind,,12.5,LV,Scotland,Scotland,AB538LH,,371136.0,841396.0,2013.0,WON-000528,57.46192107232462,-2.4827606935747832
Venitent Energy Services,Westfield,Wind,Onshore,No,Wind,,10.0,LV,Scotland,Scotland,KY50HJ,,319640.0,695487.0,2013.0,WON-000537,56.14528536063645,-3.294930366449495
Venitent Energy Services,Wingates,Wind,Onshore,No,Wind,,15.0,LV,England,North East,NE658RW,,413034.0,597920.0,2013.0,WON-000538,55.27525392207929,-1.7963879019339186
Venitent Energy Services,Tedder Hill,Wind,Onshore,No,Wind,,7.5,LV,England,Yorkshire and the Humber,HU192BY,,530221.0,430242.0,2013.0,WON-000554,53.75228094227311,-0.026522781931658076
Venitent Energy Services,A'Chruach,Wind,Onshore,No,Wind,,42.6,HV,Scotland,Scotland,PA318BA,,197742.0,696597.0,2016.0,WON-000950,56.11914385485417,-5.255151973931693
Venitent Energy Services,North Steads,Wind,Onshore,No,Wind,,18.45,LV,England,North East,NE615BB,,425478.0,597629.0,2016.0,WON-000963,55.272155870784665,-1.6005474632996781
Venitent Energy Services,Sisters,Wind,Onshore,No,Wind,,8.2,LV,England,North East,NE615ED,,425476.0,595602.0,2016.0,WON-000964,55.25394227271459,-1.600761499910623
Venitent Energy Services,Galawhistle,Wind,Onshore,No,Wind,,66.0,HV,Scotland,Scotland,ML110SJ,,275443.0,629080.0,2017.0,WON-001148,55.53948592059053,-3.9753702702511164
Veolia,SELCHP,Bioenergy,Bioenergy,Yes,MSW,,35.0,LV,England,London,SE14 5RS,TQ358779,535605.0,178129.0,1994.0,BIO-000145,51.485861747192885,-0.04836481787907273
Viridor Waste Management,Runcorn Energy from Waste,Bioenergy,Bioenergy,No,MSW,,91.0,LV,England,North West,WA7 4HG,SJ498816,349985.0,381240.0,2014.0,BIO-000633,53.325703033328026,-2.7523738637100603
Vitol,Rye House,Fossil Fuel,CCGT,No,Natural Gas,,715.0,HV,England,East of England,EN110RF,,538365.0,209811.0,1993.0,GAS-000138,51.76988189860085,0.003866317408302852
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805.0,HV,England,South East,ME39TX,,581973.0,173211.0,2000.0,GAS-000195,51.42868251718666,0.6162601029370045
Vitol,Shoreham,Fossil Fuel,CCGT,No,Natural Gas,,420.0,LV,England,South East,BN411WF,,521488.0,105110.0,2000.0,GAS-000196,50.83278335700191,-0.276211853894032
