name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
Dun Law 1,GBR0003570,17.16,55.8065,-2.846,wind,,,,GBR,United Kingdom,Renewable Energy Systems (RES),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,43.25,
Dun Law 2,GBR0003579,29.75,55.7868,-2.8423,wind,,,,GBR,United Kingdom,RES,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,74.99,
Dunbar,GBR0000794,2.2,55.9725,-2.4566,waste,,,,GBR,United Kingdom,Viridor,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.13,
Dunbar Power Plant,GBR0000793,14.0,55.9747,-2.4604,waste,,,,GBR,United Kingdom,Viridor,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,13.55,
Dundee,GBR0004681,4.0,56.4836,-2.8938,wind,,,,GBR,United Kingdom,Ecotricity,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,10.08,
Dungavel,GBR0004362,26.0,55.6086,-4.0977,wind,,,,GBR,United Kingdom,John Laing,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,65.54,
Dungeness B,GBR1000052,1050.0,50.9133,0.964,nuclear,,,,GBR,United Kingdom,British Energy (now part of EDF),,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,6938.44,
Dunkeswell Airfield,GBR0001454,2.0,50.8645,-3.227,solar,,,,GBR,United Kingdom,Lumicity,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,2.89,2.89,2.87,2.88,2.92,
Dunlop Landfill Gas Scheme,GBR0000746,2.4,55.7319,-4.4763,waste,,,,GBR,United Kingdom,Natural Power,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.32,
Dunmaglass,GBR0004118,94.1,57.2515,-4.2558,wind,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,237.22,
Dunmore,GBR0003969,21.0,55.0687,-6.889,wind,,,,GBR,United Kingdom,TCI Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,52.94,
Dunore,WKS0070948,5.0,54.681,-6.231,solar,,,,GBR,United Kingdom,,,Wiki-Solar,https://www.wiki-solar.org,,,,,,,,7.5,7.64,7.53,7.66,7.76,
